name,point,BAND_energy
H2,1,
H2,2,-89.84577941894531
H2,3,-106.99164581298828
H2,4,-103.23806762695312
H2,5,-97.69904327392578
H2,6,-95.80818176269531
H2,7,-93.89868927001953
H2,8,
H2,9,
H2,10,
H2,11,
H2,12,
H2,13,
H2,14,
H2,15,
H2,16,
H2,17,
H2,18,
H2,19,
H2,20,
H2,21,
H2,22,
H2,23,
H2,24,
H2,25,
H2,26,
H2,27,
H2,28,
H2,29,
H2,30,
H2,31,
H2,32,
H2,33,
H2,34,
H2,35,
H2,36,
H2,37,
H2,38,
H2,39,
H2,40,
H2,41,
H2,42,
H2,43,
H2,44,
H2,45,
HF,1,
HF,2,
HF,3,
HF,4,
HF,5,
HF,6,
HF,7,
HF,8,
HF,9,
HF,10,
HF,11,
HF,12,
HF,13,
HF,14,
HF,15,
HF,16,
HF,17,
HF,18,
HF,19,
HF,20,
HF,21,
HF,22,
HF,23,
HF,24,
HF,25,
HF,26,
HF,27,
HF,28,
HF,29,
HF,30,
HF,31,
HF,32,
HF,33,
HF,34,
HF,35,
HF,36,
HF,37,
HF,38,
HF,39,
HF,40,
HF,41,
HF,42,
HF,43,
HF,44,
HF,45,
CO,1,-179.05282592773438
CO,2,-175.56997680664062
CO,3,-168.01434326171875
CO,4,-154.73760986328125
CO,5,-140.36636352539062
CO,6,-127.35791015625
CO,7,-118.59905242919922
CO,8,-117.98945617675781
CO,9,-117.39177703857422
CO,10,-116.79701232910156
CO,11,-116.20406341552734
CO,12,-115.60670471191406
CO,13,
CO,14,
CO,15,
CO,16,
CO,17,
CO,18,
CO,19,
CO,20,
CO,21,
CO,22,
CO,23,
CO,24,
CO,25,
CO,26,
CO,27,
CO,28,
CO,29,
CO,30,
CO,31,
CO,32,
CO,33,
CO,34,
CO,35,
CO,36,
CO,37,
CO,38,
CO,39,
CO,40,
CO,41,
CO,42,
CO,43,
CO,44,
CO,45,
H2O,1,-111.75959777832031
H2O,2,-138.09182739257812
H2O,3,-157.05201721191406
H2O,4,-204.94427490234375
H2O,5,-219.45391845703125
H2O,6,-209.75726318359375
H2O,7,-191.17169189453125
H2O,8,-180.88687133789062
H2O,9,-182.80514526367188
H2O,10,
H2O,11,
H2O,12,
H2O,13,
H2O,14,
H2O,15,
H2O,16,
H2O,17,
H2O,18,
H2O,19,
H2O,20,
H2O,21,
H2O,22,
H2O,23,
H2O,24,
H2O,25,
H2O,26,
H2O,27,
H2O,28,
H2O,29,
H2O,30,
H2O,31,
H2O,32,
H2O,33,
H2O,34,
H2O,35,
H2O,36,
H2O,37,
H2O,38,
H2O,39,
H2O,40,
H2O,41,
H2O,42,
H2O,43,
H2O,44,
H2O,45,
HCCH,1,-360.9599609375
HCCH,2,-376.8310241699219
HCCH,3,-386.1768798828125
HCCH,4,-398.11236572265625
HCCH,5,-400.3453674316406
HCCH,6,-392.4620056152344
HCCH,7,-387.08392333984375
HCCH,8,-383.22845458984375
HCCH,9,-379.33209228515625
HCCH,10,-372.4200439453125
HCCH,11,-372.1935119628906
HCCH,12,-376.3375244140625
HCCH,13,
HCCH,14,
HCCH,15,
HCCH,16,
HCCH,17,
HCCH,18,
HCCH,19,
HCCH,20,
HCCH,21,
HCCH,22,
HCCH,23,
HCCH,24,
HCCH,25,
HCCH,26,
HCCH,27,
HCCH,28,
HCCH,29,
HCCH,30,
HCCH,31,
HCCH,32,
HCCH,33,
HCCH,34,
HCCH,35,
HCCH,36,
HCCH,37,
HCCH,38,
HCCH,39,
HCCH,40,
HCCH,41,
HCCH,42,
HCCH,43,
HCCH,44,
HCCH,45,
H2CCH2,1,-488.50628662109375
H2CCH2,2,-515.6600952148438
H2CCH2,3,-541.341064453125
H2CCH2,4,-554.2477416992188
H2CCH2,5,-559.3549194335938
H2CCH2,6,-555.842041015625
H2CCH2,7,-550.4510498046875
H2CCH2,8,-541.158203125
H2CCH2,9,-533.1053466796875
H2CCH2,10,-526.4225463867188
H2CCH2,11,-518.5253295898438
H2CCH2,12,
H2CCH2,13,
H2CCH2,14,
H2CCH2,15,
H2CCH2,16,
H2CCH2,17,
H2CCH2,18,
H2CCH2,19,
H2CCH2,20,
H2CCH2,21,
H2CCH2,22,
H2CCH2,23,
H2CCH2,24,
H2CCH2,25,
H2CCH2,26,
H2CCH2,27,
H2CCH2,28,
H2CCH2,29,
H2CCH2,30,
H2CCH2,31,
H2CCH2,32,
H2CCH2,33,
H2CCH2,34,
H2CCH2,35,
H2CCH2,36,
H2CCH2,37,
H2CCH2,38,
H2CCH2,39,
H2CCH2,40,
H2CCH2,41,
H2CCH2,42,
H2CCH2,43,
H2CCH2,44,
H2CCH2,45,
HCN,1,-303.7691650390625
HCN,2,-306.05731201171875
HCN,3,-307.11181640625
HCN,4,-302.3910217285156
