name,point,bobrfr_energy
C6H6_CC,1,-233.38895946268903
C6H6_CC,2,-232.22985432617014
C6H6_CC,3,-232.17014904354264
C6H6_CC,4,-232.17014510090988
C6H6_CC,5,-232.17028065080387
C6H6_CC,6,-232.17030101116194
C6H6_CC,7,-232.1789504981385
C6H6_CC,8,-232.16921259962749
C6H6_CC,9,-232.16958773208168
C6H6_CC,10,-232.17825527755394
C6H6_CC,11,-232.14183152831475
C6H6_CC,12,-232.09326878330646
C6H6_CC,13,-232.0397340098256
C6H6_CC,14,-232.0173816332946
C6H6_CC,15,-232.03686881389677
C6H6_CC,16,-232.01116248066575
C6H6_CC,17,-232.01429225234617
C6H6_CC,18,-232.01526398340616
C6H6_CC,19,-232.0145640082245
C6H6_CC,20,-232.01548064844843
C6H6_CC,21,-232.03557526488686
C6H6_CC,22,-232.01451401030957
C6H6_CC,23,-232.01443238650333
C6H6_CC,24,-232.01489104251
C6H6_CC,25,-232.01558417419727
C6H6_CC,26,-232.01558873614232
C6H6_CC,27,-232.0150419006202
C6H6_CC,28,-232.0152808673552
C6H6_CC,29,-232.0161966447335
C6H6_CC,30,-232.0163532490485
C6H6_CC,31,-232.01635878294854
C6H6_CC,32,-232.0163846367485
C6H6_CC,33,-232.0165011470485
C6H6_CC,34,-232.0168737696185
C6H6_CC,35,-232.0147044945309
C6H6_CC,36,-232.0169990059885
C6H6_CC,37,-232.0169481367485
C6H6_CC,38,-232.0169481367485
C6H6_CC,39,-232.01684320514948
C6H6_CC,40,-232.0168432051495
C6H6_CC,41,-232.0168432051495
C6H6_CC,42,-232.01684320514948
C6H6_CC,43,-226.08744559331615
C6H6_CC,44,-226.08744559331618
C6H6_CC,45,-224.99067918131124
C6H6_CH,1,-232.18518674166745
C6H6_CH,2,-232.18529521837746
C6H6_CH,3,-232.18539830488442
C6H6_CH,4,-232.1854174025817
C6H6_CH,5,-232.18868569195496
C6H6_CH,6,-232.17314426827608
C6H6_CH,7,-232.17840430800194
C6H6_CH,8,-232.16584017830957
C6H6_CH,9,-232.14101209124928
C6H6_CH,10,-232.00693685302846
C6H6_CH,11,-231.8467321372895
C6H6_CH,12,-231.79286956834585
C6H6_CH,13,-231.7244420339556
C6H6_CH,14,-231.67532155018867
C6H6_CH,15,-231.64371633296508
C6H6_CH,16,-231.61713502418505
C6H6_CH,17,-231.6069650513892
C6H6_CH,18,-231.6066590340292
C6H6_CH,19,-231.60670548328002
C6H6_CH,20,-231.60632930639605
C6H6_CH,21,-231.60600755479103
C6H6_CH,22,-231.605794822081
C6H6_CH,23,-231.606118646541
C6H6_CH,24,-231.60618338170102
C6H6_CH,25,-231.60643603859617
C6H6_CH,26,-231.6064847992562
C6H6_CH,27,-231.60690594939592
C6H6_CH,28,-231.60690857973088
C6H6_CH,29,-231.60688476954093
C6H6_CH,30,-231.60690440074427
C6H6_CH,31,-231.60690440074427
C6H6_CH,32,-231.60690440074424
C6H6_CH,33,-231.60690440074427
C6H6_CH,34,-231.60690440074427
C6H6_CH,35,-231.60690440074427
C6H6_CH,36,-231.60689149099923
C6H6_CH,37,-231.60692431921427
C6H6_CH,38,-231.60692431921424
C6H6_CH,39,-231.6069243192143
C6H6_CH,40,-231.60692431921424
C6H6_CH,41,-231.60692431921427
C6H6_CH,42,-231.6069243192143
C6H6_CH,43,-231.6069243192143
C6H6_CH,44,-231.6069243192143
C6H6_CH,45,-231.6069243192143
CH3OH,1,-115.67076703232189
CH3OH,2,-115.67234643832066
CH3OH,3,-115.67359017986078
CH3OH,4,-115.67369382460693
CH3OH,5,-115.67468994563556
CH3OH,6,-115.67555859752726
CH3OH,7,-115.67616570735228
CH3OH,8,-115.67814178652756
CH3OH,9,-115.67918189838278
CH3OH,10,-115.6800608865752
CH3OH,11,-115.67870661462422
CH3OH,12,-115.67689129074465
CH3OH,13,-115.67489705692816
CH3OH,14,-115.67414381346093
CH3OH,15,-115.67202196412487
CH3OH,16,-115.67131119988589
CH3OH,17,-115.67095840598904
CH3OH,18,-115.67014197852919
CH3OH,19,-115.6697393804517
CH3OH,20,-115.66960541785147
CH3OH,21,-115.6695717415273
CH3OH,22,-115.6695717415273
CH3OH,23,-115.66960541785147
CH3OH,24,-115.66960541785146
CH3OH,25,-115.66960541785147
CH3OH,26,-115.66907317538433
CH3OH,27,-115.66952168602148
CH3OH,28,-115.6694833489998
CH3OH,29,-115.6695465111473
CH3OH,30,-115.6695465111473
CH3OH,31,-115.6695465111473
CH3OH,32,-115.6695465111473
CH3OH,33,-115.6695465111473
CH3OH,34,-115.6695465111473
CH3OH,35,-115.6695465111473
CH3OH,36,-115.6695465111473
CH3OH,37,-115.66954651114733
CH3OH,38,-115.66960541785147
CH3OH,39,-116.53006177338644
CH3OH,40,-116.53006177338646
CH3OH,41,-116.68974510474646
CH3OH,42,-116.68974510474646
CH3OH,43,-117.77231737429948
CH3OH,44,-117.93203333638948
CH3OH,45,-117.93203333638948
CH4,1,-40.44290774504583
CH4,2,-40.44466655723983
CH4,3,-40.45119841155087
CH4,4,-40.46048045943205
CH4,5,-40.4781535209861
CH4,6,-40.49499739779733
CH4,7,-40.49929670606021
CH4,8,-40.489601516043905
CH4,9,-40.46256026864854
CH4,10,-40.45957370878597
CH4,11,-40.458488436392415
CH4,12,-40.458488436392415
CH4,13,-40.458488436392415
CH4,14,-40.4584884363924
CH4,15,-40.458488436392415
CH4,16,-40.458488436392415
CH4,17,-40.458488436392415
CH4,18,-40.45848843639241
CH4,19,-41.26001232091933
CH4,20,-45.300116337901926
CH4,21,-50.8219317879423
CH4,22,-53.18196909475001
CH4,23,-55.30521888561448
CH4,24,-57.98633812390029
CH4,25,-57.986338123900296
CH4,26,-57.986338123900296
CH4,27,-57.986338123900296
CH4,28,-57.98633812390029
CH4,29,-57.986338123900296
CH4,30,-57.98633812390029
CH4,31,-57.986338123900296
CH4,32,-57.986338123900296
CH4,33,-57.98633812390029
CH4,34,-57.986338123900296
CH4,35,-57.9863381239003
CH4,36,-57.986338123900296
CH4,37,-57.986338123900296
CH4,38,-57.98633812390029
CH4,39,-95.39039555015687
CH4,40,-95.39039555015684
CH4,41,-95.39039555015687
CH4,42,-95.39039555015688
CH4,43,-95.39039555015684
CH4,44,-95.39039555015687
CH4,45,-95.39039555015687
CO,1,-168.47717882552192
CO,2,-168.4771788255219
CO,3,-168.47717882552183
CO,4,-168.47717882552183
CO,5,-168.4771788255218
CO,6,-168.47717882552183
CO,7,-168.4771788255219
CO,8,-168.47723738213847
CO,9,-168.4766832286867
CO,10,-168.47648008173073
CO,11,-168.47648008173076
CO,12,-168.47648008173076
CO,13,-168.4764800817308
CO,14,-168.47648008173073
CO,15,-168.47648008173076
CO,16,-168.47648008173076
CO,17,-168.47648008173073
CO,18,-168.47648008173076
CO,19,-168.47648008173073
CO,20,-168.47648008173076
CO,21,-146.5128217140017
CO,22,-146.5128217140017
CO,23,-146.51282171400166
CO,24,-146.51282171400166
CO,25,-146.5128217140017
CO,26,-146.51282171400166
CO,27,-146.5128217140017
CO,28,-146.5128217140017
CO,29,-146.51282171400166
CO,30,-146.5128217140017
CO,31,-146.51282171400166
CO,32,-146.5128217140017
CO,33,-146.51282171400166
CO,34,-146.5128217140017
CO,35,-146.51282171400166
CO,36,-146.51282171400166
CO,37,-146.51282171400166
CO,38,-146.51282171400166
CO,39,-146.51282171400166
CO,40,-146.5128217140017
CO,41,-146.5128217140017
CO,42,-146.51282171400166
CO,43,-146.5128217140017
CO,44,-146.5128217140017
CO,45,-146.51282171400166
H2,1,-61.85279358828647
H2,2,-61.852793588286474
H2,3,-61.85279358828646
H2,4,-61.85279358828647
H2,5,-61.85279358828647
H2,6,-61.85279358828647
H2,7,-61.852793588286474
H2,8,-61.85279358828647
H2,9,-61.85279358828646
H2,10,-61.85279358828647
H2,11,-61.85279358828647
H2,12,-61.854424292358686
H2,13,-61.85439258284321
H2,14,-61.86021658070107
H2,15,-61.86020934353117
H2,16,-61.860331793197986
H2,17,-61.8592747824079
H2,18,-61.8592747824079
H2,19,-61.85927478240791
H2,20,-61.859274782407894
H2,21,-61.859274782407894
H2,22,-61.85927478240791
H2,23,-61.8592747824079
H2,24,-61.8592747824079
H2,25,-61.8592747824079
H2,26,-61.85927478240791
H2,27,-61.85927478240788
H2,28,-61.85927478240791
H2,29,-61.85927478240791
H2,30,-61.85927478240791
H2,31,-61.85927478240791
H2,32,-61.85927478240791
H2,33,-61.8592747824079
