name,phi,psi,theta,cnn_energy
ala-ala,0.0,0.0,,-358221.93260035204
ala-ala,0.0,-100.0,,-358227.15257105517
ala-ala,0.0,100.0,,-358134.9877761333
ala-ala,0.0,-120.0,,-358123.1086944072
ala-ala,0.0,120.0,,-358224.53347620653
ala-ala,0.0,-140.0,,-358182.5499556987
ala-ala,0.0,140.0,,-358147.05850825
ala-ala,0.0,-160.0,,-358215.5312941997
ala-ala,0.0,160.0,,-358180.14881739306
ala-ala,0.0,-180.0,,-358141.7756789653
ala-ala,0.0,180.0,,-358222.50208887743
ala-ala,0.0,-20.0,,-357903.1045058696
ala-ala,0.0,20.0,,-358195.98951563524
ala-ala,0.0,-40.0,,-358221.4033187358
ala-ala,0.0,40.0,,-358141.03389582323
ala-ala,0.0,-60.0,,-358168.9439681499
ala-ala,0.0,60.0,,-358217.4172042339
ala-ala,0.0,-80.0,,-358149.722860667
ala-ala,0.0,80.0,,-358168.5999434917
ala-ala,-100.0,0.0,,-358229.0516799419
ala-ala,100.0,0.0,,-358187.9453414409
ala-ala,-100.0,-100.0,,-358224.3381789653
ala-ala,-100.0,100.0,,-358230.7826980083
ala-ala,100.0,-100.0,,-358227.48783716845
ala-ala,100.0,100.0,,-358036.1752515762
ala-ala,-100.0,-120.0,,-358227.6159957378
ala-ala,-100.0,120.0,,-358223.9202712505
ala-ala,100.0,-120.0,,-358034.54776281404
ala-ala,100.0,120.0,,-358227.3600905864
ala-ala,-100.0,-140.0,,-358157.27174219774
ala-ala,-100.0,140.0,,-358168.9120009868
ala-ala,100.0,-140.0,,-358227.8983443706
ala-ala,100.0,140.0,,-358204.4404433696
ala-ala,-100.0,-160.0,,-358221.75008997606
ala-ala,-100.0,160.0,,-358222.38752588915
ala-ala,100.0,-160.0,,-358201.56289515184
ala-ala,100.0,160.0,,-358159.0328582256
ala-ala,-100.0,-180.0,,-358197.65719446825
ala-ala,-100.0,180.0,,-358211.42594752
ala-ala,100.0,-180.0,,-358163.2673018901
ala-ala,100.0,180.0,,-358226.06291041063
ala-ala,-100.0,-20.0,,-358158.8627685039
ala-ala,-100.0,20.0,,-358185.4021438091
ala-ala,100.0,-20.0,,-358160.64369043993
ala-ala,100.0,20.0,,-358226.3179610698
ala-ala,-100.0,-40.0,,-358214.7528365581
ala-ala,-100.0,40.0,,-358203.5832198589
ala-ala,100.0,-40.0,,-358223.55746302294
ala-ala,100.0,40.0,,-358160.8579848735
ala-ala,-100.0,-60.0,,-358222.55605921434
ala-ala,-100.0,60.0,,-358222.0299972026
ala-ala,100.0,-60.0,,-358155.8660872905
ala-ala,100.0,60.0,,-358209.18813929247
ala-ala,-100.0,-80.0,,-358166.6507247417
ala-ala,-100.0,80.0,,-358144.24845728563
ala-ala,100.0,-80.0,,-358212.7571700542
ala-ala,100.0,80.0,,-358227.8542159526
ala-ala,-120.0,0.0,,-358189.7101119487
ala-ala,120.0,0.0,,-358233.6819442241
ala-ala,-120.0,-100.0,,-358229.1706374614
ala-ala,-120.0,100.0,,-358094.4439490764
ala-ala,120.0,-100.0,,-358225.53332361864
ala-ala,120.0,100.0,,-358231.6968825786
ala-ala,-120.0,-120.0,,-358105.00388941454
ala-ala,-120.0,120.0,,-358228.7205947368
ala-ala,120.0,-120.0,,-358232.11436304735
ala-ala,120.0,120.0,,-358223.2261641948
ala-ala,-120.0,-140.0,,-358230.0628188579
ala-ala,-120.0,140.0,,-358218.1051925151
ala-ala,120.0,-140.0,,-358177.84597620653
ala-ala,120.0,140.0,,-358184.0057204692
ala-ala,-120.0,-160.0,,-358204.53068384813
ala-ala,-120.0,160.0,,-358163.4125960796
ala-ala,120.0,-160.0,,-358224.3411544292
ala-ala,120.0,160.0,,-358224.06606897997
ala-ala,-120.0,-180.0,,-358176.2069228618
ala-ala,-120.0,180.0,,-358227.53738245653
ala-ala,120.0,-180.0,,-358215.4494307964
ala-ala,120.0,180.0,,-358215.279173228
ala-ala,-120.0,-20.0,,-358186.6595138042
ala-ala,-120.0,20.0,,-358225.9468978374
ala-ala,120.0,-20.0,,-358177.25511011767
ala-ala,120.0,20.0,,-358194.3526900737
ala-ala,-120.0,-40.0,,-358225.07949671434
ala-ala,-120.0,40.0,,-358171.0664504497
ala-ala,120.0,-40.0,,-358219.340879771
ala-ala,120.0,40.0,,-358218.8121169536
ala-ala,-120.0,-60.0,,-358159.10029444384
ala-ala,-120.0,60.0,,-358211.41921839403
ala-ala,120.0,-60.0,,-358223.97180018114
ala-ala,120.0,60.0,,-358223.0404952495
ala-ala,-120.0,-80.0,,-358221.37818751024
ala-ala,-120.0,80.0,,-358229.03903040575
ala-ala,120.0,-80.0,,-358179.73600611376
ala-ala,120.0,80.0,,-358167.3306868999
ala-ala,-140.0,0.0,,-358237.0143722026
ala-ala,140.0,0.0,,-358231.33852991747
ala-ala,-140.0,-100.0,,-358234.0462325542
ala-ala,-140.0,100.0,,-358236.27828821825
ala-ala,140.0,-100.0,,-358231.99525293993
ala-ala,140.0,100.0,,-358231.5468734233
ala-ala,-140.0,-120.0,,-358235.7029250591
ala-ala,-140.0,120.0,,-358235.55605921434
ala-ala,140.0,-120.0,,-358231.2857345073
ala-ala,140.0,120.0,,-358230.9456008403
ala-ala,-140.0,-140.0,,-358233.8902724712
ala-ala,-140.0,140.0,,-358233.90580591845
ala-ala,140.0,-140.0,,-358231.62594446825
ala-ala,140.0,140.0,,-358227.486494395
ala-ala,-140.0,-160.0,,-358225.03848108934
ala-ala,-140.0,160.0,,-358227.090299937
ala-ala,140.0,-160.0,,-358224.3333419292
