name,phi,psi,theta,energy,ani2_energy,ani1x_energy,cnn_energy,BAND_energy,bobrfr_energy,bobkrr_energy,bobbrr_energy,ecfprfr_energy,fchl_energy,mmff_energy,gaff_energy
ala-ala,-100.0,-100.0,,-357302.71514053264,-357309.51954228955,-358249.98353463406,-358224.3381789653,-2304.80126953125,-285146.32042241597,-358257.81348175526,-358124.337410018,-286973.00024941954,-358218.73231515737,52.060967875103465,12.837149017161027
ala-ala,-100.0,-120.0,,-357299.0025029676,-357304.90802275605,-358245.71351801546,-358227.61599573784,-2322.53173828125,-285146.6330698478,-358265.43610698625,-358115.1146122811,-286973.0002494195,-358226.91641588445,53.04676315616501,91.99052487222671
ala-ala,-100.0,-140.0,,-357220.82085379347,-357229.5520336788,-358145.4770879139,-358157.27174219774,-2308.384765625,-285147.11636292643,-358251.11305204796,-358126.28164654144,-286973.00024941954,-357984.5802536009,105.85736699740015,2060.684305470014
ala-ala,-100.0,-160.0,,-357307.49317021837,-357311.4321147963,-358252.61014242674,-358221.7500899761,-2303.422119140625,-285146.5668875786,-358262.89632904856,-358131.3262770829,-286973.0002494195,-358203.57347143523,51.70703653838321,14.430290913897755
ala-ala,-100.0,-180.0,,-357289.50688307564,-357297.78064567136,-358238.7202268971,-358197.6571944683,-2294.462646484375,-285145.8557698386,-358259.7623005238,-358115.63608477736,-286973.00024941954,-358230.0029713123,64.61564977279541,186.8823728307766
ala-ala,-100.0,-20.0,,-357215.5603847546,-357215.53371412546,-358133.2307454304,-358158.8627685039,-2305.719482421875,-285146.8368869567,-358266.0644686343,-358131.93325384916,-286973.00024941954,-357744.9364795512,133.97603251757215,1347.7446025909126
ala-ala,-100.0,-40.0,,-357295.62166606536,-357299.9830072609,-358240.81048314023,-358214.75283655815,-2313.44384765625,-285146.8891695272,-358252.31232513627,-358126.65291942115,-286973.00024941954,-358217.3087300515,52.25891544018691,157.67138268291842
ala-ala,-100.0,-60.0,,-357305.5380090728,-357311.11223047436,-358251.9222173308,-358222.5560592144,-2301.207275390625,-285145.79826279375,-358267.379240578,-358125.68929965416,-286973.0002494195,-358203.04318025603,53.83982180312097,23.07794861557806
ala-ala,-100.0,-80.0,,-357264.91232086974,-357277.604953941,-358220.4699397101,-358166.65072474175,-2294.56689453125,-285146.0762708116,-358253.2853880312,-358110.941202115,-286973.00024941954,-358254.5536745375,80.47259973749425,612.1931430180609
ala-ala,-100.0,0.0,,-357310.7198761211,-357317.3211105556,-358259.01236216864,-358229.0516799419,-2308.159912109375,-285146.108493925,-358260.26648594154,-358114.5384663677,-286973.0002494195,-358218.54180212383,45.28595781220979,0.30252929443832954
ala-ala,-100.0,100.0,,-357303.86967415735,-357309.9850625757,-358251.1764305997,-358230.7826980083,-2319.597412109375,-285146.75554932357,-358265.0016397895,-358114.1428593956,-286973.0002494195,-358228.2981908627,48.764993924790716,55.421524784401676
ala-ala,-100.0,120.0,,-357300.56825286616,-357307.3390969728,-358248.09682268195,-358223.9202712505,-2305.59228515625,-285146.28088715445,-358254.47688140394,-358122.77710903063,-286973.00024941954,-358217.1840395373,53.63875080623683,21.114425699085377
ala-ala,-100.0,140.0,,-357267.29137199186,-357279.60902455525,-358222.3180897063,-358168.9120009868,-2294.129638671875,-285145.65115349594,-358255.2668217617,-358112.00927022484,-286973.00024941954,-358256.40027583716,79.2897459064821,574.8820182050811
ala-ala,-100.0,160.0,,-357306.42118151387,-357311.7241980932,-358252.3208623031,-358222.38752588915,-2301.237548828125,-285145.79826279375,-358268.22184362606,-358127.34389399824,-286973.00024941954,-358203.9351288621,53.02408953696546,19.30187037355703
ala-ala,-100.0,180.0,,-357289.9974148226,-357295.03905983653,-358235.86149931944,-358211.42594752,-2307.4921875,-285146.8891695272,-358253.1247069813,-358127.2179807608,-286973.00024941954,-358229.1288075854,53.816481610919844,262.52035034526443
ala-ala,-100.0,20.0,,-357280.3794577138,-357289.7117361815,-358229.43508017354,-358185.4021438091,-2292.48486328125,-285144.8074515956,-358248.8653126668,-358114.849677787,-286973.00024941954,-358236.79070775665,68.77016769469532,236.76358789257807
ala-ala,-100.0,40.0,,-357293.38705134246,-357300.91127798945,-358241.553670399,-358203.58321985893,-2298.77392578125,-285145.75872753223,-358260.1441050301,-358117.08206677606,-286973.00024941954,-358223.7623209297,61.8689663447812,134.88667393016308
ala-ala,-100.0,60.0,,-357307.03431333986,-357310.8438633826,-358252.0730615288,-358222.02999720257,-2305.408447265625,-285146.7117485413,-358261.8245236089,-358132.3160813487,-286973.0002494194,-358205.55835437507,51.88738483238617,15.8665642784934
ala-ala,-100.0,80.0,,-357189.0892571351,-357186.7103621375,-358098.3308773552,-358144.24845728563,-2301.985107421875,-285143.18406734033,-358244.7776705361,-358125.3884352705,-286973.00024941954,-356848.27878080844,154.2552143426143,2566.2915095806125
ala-ala,-120.0,-100.0,,-357307.896056271,-357312.32358483877,-358252.6108811257,-358229.1706374614,-2310.791259765625,-285147.33177374356,-358252.15583316394,-358120.289602548,-286973.00024941954,-358223.01912899583,45.57936794326747,28.486854118912053
ala-ala,-120.0,-120.0,,-357105.612259641,-357066.4997484026,-357949.90002286865,-358105.00388941454,-2293.458984375,-285141.32578153507,-358236.28910311026,-358125.5999463679,-286973.00024941954,-352307.85529684456,290.2001914625643,3721.071088161373
ala-ala,-120.0,-140.0,,-357309.82635192503,-357315.0996491674,-358255.5924384446,-358230.0628188579,-2312.50244140625,-285147.45812493394,-358245.34768431686,-358111.47208659444,-286973.00024941954,-358208.6706041376,44.42515544102605,17.791538268955776
ala-ala,-120.0,-160.0,,-357288.1557099145,-357295.90435159055,-358234.7832793545,-358204.53068384813,-2299.60693359375,-285145.2085183716,-358254.76353400346,-358121.2950146211,-286973.00024941954,-358211.0304492682,67.63557057153325,111.46547660137392
ala-ala,-120.0,-180.0,,-357275.54685913294,-357284.8200707254,-358225.1572090344,-358176.2069228618,-2291.71044921875,-285144.98712973,-358256.2276166436,-358123.7851156916,-286973.00024941954,-358243.6977464206,74.66774088124939,403.58220713297874
ala-ala,-120.0,-20.0,,-357269.8118929279,-357274.45805695065,-358212.3143011009,-358186.65951380425,-2301.4228515625,-285146.55627922347,-358256.1480241681,-358125.0038990202,-286973.0002494195,-358243.90148239955,71.7578803709813,555.3938894898916
ala-ala,-120.0,-40.0,,-357305.92907259497,-357311.9488165741,-358252.1076120688,-358225.0794967144,-2301.240478515625,-285146.1167663227,-358254.025059457,-358127.1966104954,-286973.0002494195,-358215.353433641,51.00037977361183,11.478328041227273
ala-ala,-120.0,-60.0,,-357259.50009284803,-357271.49000607233,-358211.74573666626,-358159.10029444384,-2291.06396484375,-285144.9538533921,-358267.29695512407,-358132.0423618264,-286973.0002494195,-358235.5204424255,87.32168592668484,627.3979170664852
ala-ala,-120.0,-80.0,,-357301.47917602194,-357307.961397881,-358247.6190153626,-358221.37818751024,-2303.66650390625,-285146.6506490485,-358244.4266856727,-358114.3677099565,-286973.0002494195,-358217.4859441664,53.41702616695442,48.86291779521433
ala-ala,-120.0,0.0,,-357270.3325724405,-357278.6480286346,-358218.21738475986,-358189.71011194866,-2301.783447265625,-285147.30128411256,-358255.6378543538,-358119.4763875593,-286973.00024941954,-358218.9528051089,61.01680208298573,682.687545140951
ala-ala,-120.0,100.0,,-357078.62742460985,-357036.9673656454,-357916.70448115375,-358094.4439490764,-2292.371337890625,-285141.12116519234,-358227.6410515136,-358123.15495269955,-286973.00024941936,-346583.1450785481,360.4016566716227,3823.272109716089
ala-ala,-120.0,120.0,,-357309.1919032441,-357313.48808500974,-358254.3102627614,-358228.7205947368,-2309.858642578125,-285147.0612209396,-358254.2105757532,-358122.35470995435,-286973.00024941954,-358219.0972394575,45.31703469928239,16.72767629786967
ala-ala,-120.0,140.0,,-357298.7914185393,-357305.4906318953,-358244.72409153584,-358218.10519251507,-2303.863525390625,-285146.3892315778,-358245.91769809765,-358115.89481721056,-286973.00024941954,-358220.85596597,55.85493309382235,72.23328726470699
ala-ala,-120.0,160.0,,-357264.10894581536,-357275.35260459734,-358214.83031911356,-358163.41259607964,-2290.76123046875,-285144.95385339216,-358266.263150603,-358129.85167745955,-286973.0002494194,-358235.6590232861,84.36921136420719,517.5063413358791
ala-ala,-120.0,180.0,,-357307.5043919214,-357313.3909073236,-358253.62865868444,-358227.5373824565,-2302.190185546875,-285144.58071949414,-358254.25067121076,-358125.83523400326,-286973.0002494195,-358213.8630032921,49.13908309373002,8.877572222070716
ala-ala,-120.0,20.0,,-357309.5029065177,-357314.28838335734,-358254.75683901075,-358225.94689783745,-2302.25244140625,-285144.4963167659,-358249.29080326844,-358124.6356754369,-286973.00024941954,-358209.1968137712,46.3540584001413,5.2236553566686785
ala-ala,-120.0,40.0,,-357269.5303552305,-357279.5193916625,-358220.3797716838,-358171.0664504497,-2291.36474609375,-285144.95385339216,-358257.20337251696,-358124.95873475313,-286973.00024941965,-358246.3828400025,79.08449510705384,516.0737808429526
ala-ala,-120.0,60.0,,-357291.55397706927,-357298.92154155025,-358238.38978534535,-358211.4192183941,-2301.57666015625,-285146.67206530663,-358253.9526482576,-358122.2464310971,-286973.0002494195,-358207.28426138184,65.15290124080725,78.50455630244187
