name,point,bond,length,energy,ani2_energy,ani1x_energy,cnn_energy,BAND_energy,bobrfr_energy,bobkrr_energy,bobbrr_energy,fchl_energy,ecfprfr_energy,mmff_energy,gaff_energy
C6H6-C,0,CC,0.8846,-142663.52345550052,-142743.80572611094,-144674.67115123023,-144776.38530946907,-968.374267578125,-145805.9993863929,-145688.056229193,-145720.81403079536,-132342.00859058858,-149679.0377630412,1830.47100849651,8439.631953756896
C6H6-C,1,CC,0.9846,-143959.98155146852,-143986.95909149636,-144731.7773310526,-145023.47161318,-1012.032470703125,-145806.1670262798,-145744.8227197006,-145703.9442912368,-141150.45969414103,-149679.0377630412,967.9733912443103,3420.359315035404
C6H6-C,2,CC,1.0846,-144691.15857782486,-144647.51547875546,-145089.3839667756,-145223.4045355433,-1110.4476318359377,-145772.58621542828,-145758.7774350252,-145688.45968535315,-144183.64938857345,-149679.03776304124,458.86204703192635,1548.9545077473065
C6H6-C,3,CC,1.1846,-145079.25187230745,-145083.9434329682,-145478.08610722216,-145460.06698061165,-1222.9683837890625,-145709.1341289849,-145747.81252426616,-145674.46333900088,-145228.39071004416,-149679.03776304124,181.2769415762756,641.7008656986912
C6H6-C,4,CC,1.2846,-145258.1080887485,-145260.53228664634,-145644.17307808087,-145627.43180824455,-1319.632568359375,-145682.2164332493,-145722.2307246934,-145661.55114850172,-145600.4611777925,-149679.03776304124,53.06757633315804,178.6850047041766
C6H6-C,5,CC,1.3846,-145309.31467885364,-145311.92196060644,-145694.15442197386,-145691.7613852137,-1372.7620849609375,-145683.8810453216,-145687.99099926953,-145649.59539668902,-145686.55623316014,-149679.03776304124,16.57567546437426,19.456137364738208
C6H6-C,6,CC,1.4846,-145283.5641310236,-145285.16224457283,-145664.32965946317,-145655.39230943855,-1344.743408203125,-145656.7683471324,-145649.35782904623,-145638.60538334362,-145652.7719799314,-149679.03776304124,32.53447620514042,121.92971572713977
C6H6-C,7,CC,1.5846,-145212.72621969724,-145208.34862342742,-145585.7084820049,-145563.3099424952,-1295.9119873046875,-145597.32769760335,-145608.51940865803,-145628.41445115913,-145563.99294019933,-149679.03776304124,77.48163424056065,472.3855686469848
C6H6-C,8,CC,1.6846,-145116.9962051799,-145112.31010316478,-145491.7124848844,-145455.2272131556,-1267.739013671875,-145588.4950602399,-145567.10558853205,-145619.09321205117,-145440.53222267565,-149679.03776304124,142.6200145838287,1066.0262428522735
C6H6-C,9,CC,1.7846,-145009.2734382923,-144985.9049875311,-145353.37530183588,-145339.05343080696,-1216.769287109375,-145561.0451995971,-145525.55233196417,-145610.33071058738,-145285.22193839887,-149679.0377630412,233.2993412853513,1901.0884798813934
C6H6-C,10,CC,1.8846,-144897.75975103854,-144823.42589205995,-145183.8907929291,-145255.3713324183,-1142.380126953125,-145526.4960184757,-145484.94760226505,-145602.23150860035,-145111.18228676272,-149679.03776304124,368.74121492989286,2976.8951563127616
