name,phi,psi,theta,energy
ala-ala,-100,-100,nan,-15534.900658284028
ala-ala,-100,-120,nan,-15534.73923925946
ala-ala,-100,-140,nan,-15531.340037121456
ala-ala,-100,-160,nan,-15535.108398705146
ala-ala,-100,-180,nan,-15534.32638622068
ala-ala,-100,-20,nan,-15531.111321076289
ala-ala,-100,-40,nan,-15534.59224635067
ala-ala,-100,-60,nan,-15535.023391698818
ala-ala,-100,-80,nan,-15533.257057429119
ala-ala,-100,0,nan,-15535.248690266137
ala-ala,-100,100,nan,-15534.950855398145
ala-ala,-100,120,nan,-15534.807315342006
ala-ala,-100,140,nan,-15533.360494434428
ala-ala,-100,160,nan,-15535.061790500602
ala-ala,-100,180,nan,-15534.347713687941
ala-ala,-100,20,nan,-15533.929541639733
ala-ala,-100,40,nan,-15534.495089188804
ala-ala,-100,60,nan,-15535.08844840608
ala-ala,-100,80,nan,-15529.960402484136
ala-ala,-120,-100,nan,-15535.125915490044
ala-ala,-120,-120,nan,-15526.330967810478
ala-ala,-120,-140,nan,-15535.209841388043
ala-ala,-120,-160,nan,-15534.267639561498
ala-ala,-120,-180,nan,-15533.719428657954
ala-ala,-120,-20,nan,-15533.470082301214
ala-ala,-120,-40,nan,-15535.040394460653
ala-ala,-120,-60,nan,-15533.021743167306
ala-ala,-120,-80,nan,-15534.846920696606
ala-ala,-120,0,nan,-15533.49272054089
ala-ala,-120,100,nan,-15525.157714113473
ala-ala,-120,120,nan,-15535.182256662789
ala-ala,-120,140,nan,-15534.730061675622
ala-ala,-120,160,nan,-15533.222128078927
ala-ala,-120,180,nan,-15535.108886605278
ala-ala,-120,20,nan,-15535.195778544248
ala-ala,-120,40,nan,-15533.45784153176
ala-ala,-120,60,nan,-15534.415390307358
ala-ala,-120,80,nan,-15535.15842547599
ala-ala,-140,-100,nan,-15535.519425587869
ala-ala,-140,-120,nan,-15535.503813327812
ala-ala,-140,-140,nan,-15535.244368281848
ala-ala,-140,-160,nan,-15535.067788161981
ala-ala,-140,-180,nan,-15535.283540431197
ala-ala,-140,-20,nan,-15535.411562378671
ala-ala,-140,-40,nan,-15535.149973347681
ala-ala,-140,-60,nan,-15535.12057688841
ala-ala,-140,-80,nan,-15535.338299261903
ala-ala,-140,0,nan,-15535.610388350044
ala-ala,-140,100,nan,-15535.51220749587
ala-ala,-140,120,nan,-15535.487985553582
ala-ala,-140,140,nan,-15535.335910918639
ala-ala,-140,160,nan,-15535.108503741092
ala-ala,-140,180,nan,-15535.170987611898
ala-ala,-140,20,nan,-15535.357268590535
ala-ala,-140,40,nan,-15535.261043146493
ala-ala,-140,60,nan,-15535.064693139047
ala-ala,-140,80,nan,-15535.259061885548
ala-ala,-160,-100,nan,-15535.29307965434
ala-ala,-160,-120,nan,-15535.260410481791
ala-ala,-160,-140,nan,-15535.2128857978
ala-ala,-160,-160,nan,-15535.138658581662
ala-ala,-160,-180,nan,-15535.402201934327
ala-ala,-160,-20,nan,-15534.927747217847
ala-ala,-160,-40,nan,-15535.190105786805
ala-ala,-160,-60,nan,-15535.221299013832
ala-ala,-160,-80,nan,-15535.41409167691
ala-ala,-160,0,nan,-15535.36868485502
ala-ala,-160,100,nan,-15535.313782620315
ala-ala,-160,120,nan,-15535.287731800836
ala-ala,-160,140,nan,-15535.42435635558
ala-ala,-160,160,nan,-15535.205036129557
ala-ala,-160,180,nan,-15535.207388009567
ala-ala,-160,20,nan,-15535.321461128948
ala-ala,-160,40,nan,-15535.380085609013
ala-ala,-160,60,nan,-15535.130593943475
ala-ala,-160,80,nan,-15535.187874453233
ala-ala,-180,-100,nan,-15534.687292181172
ala-ala,-180,-120,nan,-15534.611545481288
ala-ala,-180,-140,nan,-15534.84959231039
ala-ala,-180,-160,nan,-15534.733896848233
ala-ala,-180,-180,nan,-15534.879465241012
