name,point,bond,length,energy
C6H6-C,0,CC,0.8846,-6202.761889369587
C6H6-C,1,CC,0.9846,-6259.129632672544
C6H6-C,2,CC,1.0846,-6290.919938166297
C6H6-C,3,CC,1.1846,-6307.793559665541
C6H6-C,4,CC,1.2846,-6315.569916902109
C6H6-C,5,CC,1.3846,-6317.796290384942
C6H6-C,6,CC,1.4846,-6316.676701348852
C6H6-C,7,CC,1.5846,-6313.596792160749
C6H6-C,8,CC,1.6846,-6309.434617616517
C6H6-C,9,CC,1.7846,-6304.751019056186
C6H6-C,10,CC,1.8846,-6299.90259787124
C6H6-C,11,CC,1.9846,-6295.117453224748
C6H6-C,12,CC,2.0846,-6290.548359900592
C6H6-C,13,CC,2.1846,-6286.279465025334
C6H6-C,14,CC,2.2846,-6282.356353927548
C6H6-C,15,CC,2.3846,-6278.804252649634
C6H6-C,16,CC,2.4846,-6275.62597185555
C6H6-C,17,CC,2.5846,-6272.813412348653
C6H6-C,18,CC,2.6846,-6270.342692873194
C6H6-C,19,CC,2.7846,-6268.18656149916
C6H6-C,20,CC,2.8846,-6266.309909825445
C6H6-C,21,CC,2.9846,-6264.673630193683
C6H6-C,22,CC,3.0846,-6263.2386726336445
C6H6-C,23,CC,3.1846,-6261.971164141104
C6H6-C,24,CC,3.2846,-6260.842731132758
C6H6-C,25,CC,3.3846,-6259.835629336528
C6H6-C,26,CC,3.4846,-6258.934830992906
C6H6-C,27,CC,3.5846,-6258.122360260931
C6H6-C,28,CC,3.6846,-6257.386648492358
C6H6-C,29,CC,3.7846,-6256.721545097827
C6H6-C,30,CC,3.8846,-6256.120850779596
C6H6-C,31,CC,3.9846,-6255.577885686863
C6H6-C,32,CC,4.0846,-6255.087047267559
C6H6-C,33,CC,4.1846,-6254.643272843495
C6H6-C,34,CC,4.2846,-6254.242285873398
C6H6-C,35,CC,4.3846,-6253.879005175338
C6H6-C,36,CC,4.4846,-6253.549673401265
C6H6-C,37,CC,4.5846,-6253.250766948931
C6H6-C,38,CC,4.6846,-6252.978355677992
C6H6-C,39,CC,4.7846,-6252.729600624648
C6H6-C,40,CC,4.8846,-6252.501864189342
C6H6-C,41,CC,4.9846,-6252.292892453053
C6H6-C,42,CC,5.0846,-6252.099837200109
C6H6-C,43,CC,5.1846,-6251.920575398245
C6H6-C,44,CC,5.2846,-6251.753555998517
C6H6-C,45,CC,5.3846,-6251.597691633974
C6H6-H,0,CH,0.5805009732980644,-6228.084185510222
C6H6-H,1,CH,0.6804487710327648,-6273.901410055157
C6H6-H,2,CH,0.7804465708810565,-6298.354977557906
C6H6-H,3,CH,0.880444370758312,-6310.771211189764
C6H6-H,4,CH,0.9804921723297948,-6316.28022276103
C6H6-H,5,CH,1.0804899721885437,-6317.7962906570565
C6H6-H,6,CH,1.180487772067123,-6317.019101390594
C6H6-H,7,CH,1.280435570421253,-6314.95549090264
C6H6-H,8,CH,1.3804833718665357,-6312.206940192568
C6H6-H,9,CH,1.480517774293845,-6309.140600777962
C6H6-H,10,CH,1.58056557282512,-6305.978362455936
C6H6-H,11,CH,1.6805633728009188,-6302.857229924281
C6H6-H,12,CH,1.7805111737925152,-6299.854459026289
C6H6-H,13,CH,1.8805589727525165,-6297.013830975714
C6H6-H,14,CH,1.9805067735304518,-6294.3598463594235
C6H6-H,15,CH,2.0805045734148244,-6291.898732502887
C6H6-H,16,CH,2.180502373307583,-6289.634722681277
C6H6-H,17,CH,2.2805001732076233,-6287.564756974345
C6H6-H,18,CH,2.3805479726315113,-6285.681784640111
C6H6-H,19,CH,2.480545772607311,-6283.977711924204
C6H6-H,20,CH,2.580493572942975,-6282.443589002083
C6H6-H,21,CH,2.6804913728643114,-6281.068174306355
C6H6-H,22,CH,2.780489172789565,-6279.842235558301
C6H6-H,23,CH,2.8805369725105074,-6278.756715176292
C6H6-H,24,CH,2.9805347724863065,-6277.80531862274
C6H6-H,25,CH,3.0804825725850167,-6276.980557052364
C6H6-H,26,CH,3.1804803725223647,-6276.276005312927
C6H6-H,27,CH,3.2804781724620575,-6275.683030320406
C6H6-H,28,CH,3.3805259723895036,-6275.193302397726
C6H6-H,29,CH,3.480523772365303,-6274.795762838001
C6H6-H,30,CH,3.5804715722932365,-6274.476045118381
C6H6-H,31,CH,3.6804693722404482,-6274.219920133508
C6H6-H,32,CH,3.7804671721891725,-6274.013850219322
C6H6-H,33,CH,3.8805149722685,-6273.846362239542
C6H6-H,34,CH,3.9805127722442997,-6273.708147451458
C6H6-H,35,CH,4.080460572043307,-6273.591719730927
C6H6-H,36,CH,4.180508372195899,-6273.491608501101
C6H6-H,37,CH,4.28045617195177,-6273.403461300939
C6H6-H,38,CH,4.380453971907478,-6273.32423072743
C6H6-H,39,CH,4.480501772123296,-6273.252196476812
C6H6-H,40,CH,4.580449571821526,-6273.18619145278
C6H6-H,41,CH,4.680497372074895,-6273.124830323719
C6H6-H,42,CH,4.780445171738716,-6273.066980279673
C6H6-H,43,CH,4.880442971698368,-6273.0119074295835
C6H6-H,44,CH,4.980490772002294,-6272.958930944599
C6H6-H,45,CH,5.08043857161958,-6272.908288924337
CH3OH,0,OC,0.9062,-3132.5691399158936
CH3OH,1,OC,1.0062,-3140.223112315517
CH3OH,2,OC,1.1062,-3144.400183188266
CH3OH,3,OC,1.2062,-3146.5491310287607
CH3OH,4,OC,1.3062,-3147.507850710258
CH3OH,5,OC,1.4062,-3147.7711214048445
CH3OH,6,OC,1.5062,-3147.633735203435
CH3OH,7,OC,1.6062,-3147.274611860782
CH3OH,8,OC,1.7062,-3146.801892686441
CH3OH,9,OC,1.8062,-3146.280604455152
CH3OH,10,OC,1.9062,-3145.7455480793697
CH3OH,11,OC,2.0062,-3145.2208208732377
CH3OH,12,OC,2.1062,-3144.716742482424
CH3OH,13,OC,2.2062,-3144.2408512769275
CH3OH,14,OC,2.3062,-3143.7967451460804
CH3OH,15,OC,2.4062,-3143.384459464683
CH3OH,16,OC,2.5062,-3143.003669873026
CH3OH,17,OC,2.6062,-3142.6530318565733
CH3OH,18,OC,2.7062,-3142.3296381509467
CH3OH,19,OC,2.8062,-3142.0310775553166
CH3OH,20,OC,2.9062,-3141.7552610516527
CH3OH,21,OC,3.0062,-3141.5002003040495
CH3OH,22,OC,3.1062,-3141.263885479608
CH3OH,23,OC,3.2062,-3141.044932879397
CH3OH,24,OC,3.3062,-3140.842095677754
CH3OH,25,OC,3.4062,-3140.6545727715034
CH3OH,26,OC,3.5062,-3140.481804422455
CH3OH,27,OC,3.6062,-3140.322933744093
CH3OH,28,OC,3.7062,-3140.17746412864
CH3OH,29,OC,3.8062,-3140.0449082201903
CH3OH,30,OC,3.9062,-3139.9245147124034
CH3OH,31,OC,4.0062,-3139.8155320268224
CH3OH,32,OC,4.1062,-3139.7170542964404
CH3OH,33,OC,4.2062,-3139.6280292569973
CH3OH,34,OC,4.3062,-3139.5475371636776
