name,point,ecfprfr_energy
C6H6-C,0,-238.52873130829593
C6H6-C,1,-238.52873130829593
C6H6-C,2,-238.52873130829596
C6H6-C,3,-238.52873130829596
C6H6-C,4,-238.52873130829596
C6H6-C,5,-238.52873130829596
C6H6-C,6,-238.52873130829596
C6H6-C,7,-238.52873130829596
C6H6-C,8,-238.52873130829596
C6H6-C,9,-238.52873130829593
C6H6-C,10,-238.52873130829596
C6H6-C,11,-230.06882331861897
C6H6-C,12,-230.068823318619
C6H6-C,13,-230.06882331861902
C6H6-C,14,-230.068823318619
C6H6-C,15,-230.068823318619
C6H6-C,16,-230.068823318619
C6H6-C,17,-230.068823318619
C6H6-C,18,-230.06882331861902
C6H6-C,19,-230.068823318619
C6H6-C,20,-230.068823318619
C6H6-C,21,-230.068823318619
C6H6-C,22,-230.06882331861908
C6H6-C,23,-230.068823318619
C6H6-C,24,-230.068823318619
C6H6-C,25,-230.06882331861897
C6H6-C,26,-230.06882331861902
C6H6-C,27,-230.068823318619
C6H6-C,28,-230.068823318619
C6H6-C,29,-230.068823318619
C6H6-C,30,-230.068823318619
C6H6-C,31,-230.06882331861902
C6H6-C,32,-230.06882331861902
C6H6-C,33,-230.06882331861897
C6H6-C,34,-230.06882331861902
C6H6-C,35,-230.068823318619
C6H6-C,36,-230.06882331861902
C6H6-C,37,-230.06882331861897
C6H6-C,38,-230.06882331861902
C6H6-C,39,-230.06882331861902
C6H6-C,40,-230.06882331861908
C6H6-C,41,-230.06882331861897
C6H6-C,42,-230.06882331861902
C6H6-C,43,-230.06882331861902
C6H6-C,44,-230.06882331861908
C6H6-C,45,-230.06882331861897
C6H6-H,0,-238.52873130829596
C6H6-H,1,-238.52873130829596
C6H6-H,2,-238.52873130829596
C6H6-H,3,-238.52873130829602
C6H6-H,4,-238.52873130829602
C6H6-H,5,-238.52873130829596
C6H6-H,6,-238.52873130829596
C6H6-H,7,-238.52873130829593
C6H6-H,8,-238.52873130829596
C6H6-H,9,-238.52873130829596
C6H6-H,10,-230.068823318619
C6H6-H,11,-230.068823318619
C6H6-H,12,-230.068823318619
C6H6-H,13,-230.06882331861897
C6H6-H,14,-230.068823318619
C6H6-H,15,-230.06882331861908
C6H6-H,16,-230.068823318619
C6H6-H,17,-230.06882331861902
C6H6-H,18,-230.068823318619
C6H6-H,19,-230.068823318619
C6H6-H,20,-230.06882331861902
C6H6-H,21,-230.06882331861902
C6H6-H,22,-230.068823318619
C6H6-H,23,-230.06882331861902
C6H6-H,24,-230.06882331861908
C6H6-H,25,-230.06882331861897
C6H6-H,26,-230.068823318619
C6H6-H,27,-230.068823318619
C6H6-H,28,-230.06882331861902
C6H6-H,29,-230.06882331861897
C6H6-H,30,-230.06882331861897
C6H6-H,31,-230.06882331861902
C6H6-H,32,-230.06882331861902
C6H6-H,33,-230.06882331861902
C6H6-H,34,-230.06882331861902
C6H6-H,35,-230.06882331861902
C6H6-H,36,-230.068823318619
C6H6-H,37,-230.068823318619
C6H6-H,38,-230.06882331861902
C6H6-H,39,-230.0688233186191
C6H6-H,40,-230.06882331861902
C6H6-H,41,-230.068823318619
C6H6-H,42,-230.06882331861908
C6H6-H,43,-230.068823318619
C6H6-H,44,-230.06882331861902
C6H6-H,45,-230.0688233186189
CH3OH,0,-318.36507894341304
CH3OH,1,-318.36507894341304
CH3OH,2,-318.36507894341304
CH3OH,3,-318.36507894341304
CH3OH,4,-318.365078943413
CH3OH,5,-318.365078943413
CH3OH,6,-318.36507894341304
CH3OH,7,-318.36507894341304
CH3OH,8,-318.36507894341315
CH3OH,9,-318.365078943413
CH3OH,10,-230.06882331861902
CH3OH,11,-230.068823318619
CH3OH,12,-230.06882331861897
CH3OH,13,-230.068823318619
CH3OH,14,-230.06882331861902
CH3OH,15,-230.06882331861902
CH3OH,16,-230.06882331861902
CH3OH,17,-230.06882331861897
CH3OH,18,-230.0688233186189
CH3OH,19,-230.06882331861902
CH3OH,20,-230.06882331861897
CH3OH,21,-230.06882331861902
CH3OH,22,-230.068823318619
CH3OH,23,-230.06882331861902
CH3OH,24,-230.06882331861902
CH3OH,25,-230.068823318619
CH3OH,26,-230.06882331861897
CH3OH,27,-230.068823318619
CH3OH,28,-230.068823318619
CH3OH,29,-230.068823318619
CH3OH,30,-230.06882331861908
CH3OH,31,-230.068823318619
CH3OH,32,-230.068823318619
CH3OH,33,-230.06882331861897
CH3OH,34,-230.06882331861902
CH3OH,35,-230.06882331861902
CH3OH,36,-230.06882331861902
CH3OH,37,-230.06882331861908
CH3OH,38,-230.068823318619
CH3OH,39,-230.06882331861897
CH3OH,40,-230.068823318619
CH3OH,41,-230.06882331861897
CH3OH,42,-230.06882331861897
CH3OH,43,-230.068823318619
CH3OH,44,-230.06882331861902
CH3OH,45,-230.068823318619
CH4,0,-230.06882331861908
CH4,1,-230.06882331861902
CH4,2,-230.068823318619
CH4,3,-230.06882331861897
CH4,4,-230.068823318619
CH4,5,-230.068823318619
CH4,6,-230.06882331861897
CH4,7,-230.06882331861897
CH4,8,-230.06882331861902
CH4,9,-230.068823318619
CH4,10,-230.068823318619
CH4,11,-230.06882331861897
CH4,12,-230.06882331861908
CH4,13,-230.068823318619
CH4,14,-230.06882331861902
CH4,15,-230.068823318619
CH4,16,-230.06882331861902
CH4,17,-230.06882331861902
CH4,18,-230.068823318619
CH4,19,-230.06882331861902
CH4,20,-230.06882331861897
CH4,21,-230.068823318619
CH4,22,-230.06882331861902
CH4,23,-230.06882331861902
CH4,24,-230.06882331861897
CH4,25,-230.068823318619
CH4,26,-230.06882331861902
CH4,27,-230.06882331861897
CH4,28,-230.068823318619
CH4,29,-230.06882331861902
CH4,30,-230.068823318619
CH4,31,-230.06882331861908
CH4,32,-230.06882331861902
CH4,33,-230.068823318619
CH4,34,-230.068823318619
CH4,35,-230.068823318619
CH4,36,-230.068823318619
CH4,37,-230.06882331861897
CH4,38,-230.068823318619
CH4,39,-230.06882331861902
CH4,40,-230.06882331861902
CH4,41,-230.06882331861902
CH4,42,-230.0688233186189
CH4,43,-230.06882331861897
CH4,44,-230.06882331861897
CH4,45,-230.068823318619
CO,0,-332.4760611057931
CO,1,-332.47606110579306
CO,2,-332.47606110579306
CO,3,-332.4760611057931
CO,4,-332.4760611057932
CO,5,-332.4760611057932
CO,6,-332.47606110579306
CO,7,-332.47606110579306
CO,8,-332.4760611057931
CO,9,-332.47606110579306
CO,10,-332.4760611057931
CO,11,-332.4760611057931
CO,12,-332.4760611057931
CO,13,-230.06882331861902
CO,14,-230.06882331861902
CO,15,-230.06882331861902
CO,16,-230.068823318619
CO,17,-230.06882331861908
CO,18,-230.06882331861902
CO,19,-230.06882331861902
CO,20,-230.06882331861908
CO,21,-230.06882331861902
CO,22,-230.068823318619
CO,23,-230.068823318619
CO,24,-230.068823318619
CO,25,-230.06882331861902
CO,26,-230.06882331861897
CO,27,-230.06882331861902
CO,28,-230.06882331861902
CO,29,-230.06882331861902
CO,30,-230.068823318619
CO,31,-230.06882331861902
CO,32,-230.06882331861902
CO,33,-230.06882331861902
CO,34,-230.06882331861902
CO,35,-230.06882331861902
CO,36,-230.068823318619
CO,37,-230.06882331861902
CO,38,-230.06882331861902
CO,39,-230.06882331861897
CO,40,-230.06882331861902
CO,41,-230.06882331861897
CO,42,-230.068823318619
CO,43,-230.06882331861897
CO,44,-230.068823318619
CO,45,-230.06882331861908
H2,0,-230.068823318619
H2,1,-230.068823318619
H2,2,-230.06882331861908
H2,3,-230.068823318619
H2,4,-230.068823318619
H2,5,-230.06882331861897
H2,6,-230.06882331861902
H2,7,-230.068823318619
H2,8,-230.06882331861902
H2,9,-230.068823318619
H2,10,-230.068823318619
H2,11,-230.068823318619
H2,12,-230.06882331861902
H2,13,-230.06882331861897
H2,14,-230.06882331861902
H2,15,-230.06882331861902
H2,16,-230.068823318619
H2,17,-230.068823318619
H2,18,-230.06882331861902
H2,19,-230.06882331861902
H2,20,-230.06882331861902
H2,21,-230.068823318619
H2,22,-230.068823318619
H2,23,-230.068823318619
H2,24,-230.06882331861902
H2,25,-230.068823318619
H2,26,-230.068823318619
H2,27,-230.06882331861902
H2,28,-230.068823318619
H2,29,-230.06882331861897
H2,30,-230.06882331861902
H2,31,-230.06882331861897
H2,32,-230.06882331861908
H2,33,-230.06882331861902
H2,34,-230.06882331861902
H2,35,-230.06882331861902
H2,36,-230.06882331861908
H2,37,-230.06882331861902
H2,38,-230.06882331861902
H2,39,-230.0688233186189
H2,40,-230.06882331861897
