name,phi,psi,theta,fchl_energy
ala-ala,0,0,,-1297.3391820788383
ala-ala,0,20,,-1297.3391820788383
ala-ala,0,40,,-1297.3391820788383
ala-ala,0,60,,-1297.3391820788383
ala-ala,0,80,,-1297.3391820788383
ala-ala,0,100,,-1297.3391820788383
ala-ala,0,120,,-1297.3391820788383
ala-ala,0,140,,-1297.3391820788383
ala-ala,0,160,,-1297.3391820788383
ala-ala,0,180,,-1297.3391820788383
ala-ala,0,-20,,-1297.3391820788383
ala-ala,0,-40,,-1297.3391820788383
ala-ala,0,-60,,-1297.3391820788383
ala-ala,0,-80,,-1297.3391820788383
ala-ala,0,-100,,-1297.3391820788383
ala-ala,0,-120,,-1297.3391820788383
ala-ala,0,-140,,-1297.3391820788383
ala-ala,0,-160,,-1297.3391820788383
ala-ala,0,-180,,-1297.3391820788383
ala-ala,20,0,,-1297.3391820788383
ala-ala,20,20,,-1297.3391820788383
ala-ala,20,40,,-1297.3391820788383
ala-ala,20,60,,-1297.3391820788383
ala-ala,20,80,,-1297.3391820788383
ala-ala,20,100,,-1297.3391820788383
ala-ala,20,120,,-1297.3391820788383
ala-ala,20,140,,-1297.3391820788383
ala-ala,20,160,,-1297.3391820788383
ala-ala,20,180,,-1297.3391820788383
ala-ala,20,-20,,-1297.3391820788383
ala-ala,20,-40,,-1297.3391820788383
ala-ala,20,-60,,-1297.3391820788383
ala-ala,20,-80,,-1297.3391820788383
ala-ala,20,-100,,-1297.3391820788383
ala-ala,20,-120,,-1297.3391820788383
ala-ala,20,-140,,-1297.3391820788383
ala-ala,20,-160,,-1297.3391820788383
ala-ala,20,-180,,-1297.3391820788383
ala-ala,40,0,,-1297.3391820788383
ala-ala,40,20,,-1297.3391820788383
ala-ala,40,40,,-1297.3391820788383
ala-ala,40,60,,-1297.3391820788383
ala-ala,40,80,,-1297.3391820788383
ala-ala,40,100,,-1297.3391820788383
ala-ala,40,120,,-1297.3391820788383
ala-ala,40,140,,-1297.3391820788383
ala-ala,40,160,,-1297.3391820788383
ala-ala,40,180,,-1297.3391820788383
ala-ala,40,-20,,-1297.3391820788383
ala-ala,40,-40,,-1297.3391820788383
ala-ala,40,-60,,-1297.3391820788383
ala-ala,40,-80,,-1297.3391820788383
ala-ala,40,-100,,-1297.3391820788383
ala-ala,40,-120,,-1297.3391820788383
ala-ala,40,-140,,-1297.3391820788383
ala-ala,40,-160,,-1297.3391820788383
ala-ala,40,-180,,-1297.3391820788383
ala-ala,60,0,,-1297.3391820788383
ala-ala,60,20,,-1297.3391820788383
ala-ala,60,40,,-1297.3391820788383
ala-ala,60,60,,-1297.3391820788383
ala-ala,60,80,,-1297.3391820788383
ala-ala,60,100,,-1297.3391820788383
ala-ala,60,120,,-1297.3391820788383
ala-ala,60,140,,-1297.3391820788383
ala-ala,60,160,,-1297.3391820788383
ala-ala,60,180,,-1297.3391820788383
ala-ala,60,-20,,-1297.3391820788383
ala-ala,60,-40,,-1297.3391820788383
ala-ala,60,-60,,-1297.3391820788383
ala-ala,60,-80,,-1297.3391820788383
ala-ala,60,-100,,-1297.3391820788383
ala-ala,60,-120,,-1297.3391820788383
ala-ala,60,-140,,-1297.3391820788383
ala-ala,60,-160,,-1297.3391820788383
ala-ala,60,-180,,-1297.3391820788383
ala-ala,80,0,,-1297.3391820788383
ala-ala,80,20,,-1297.3391820788383
ala-ala,80,40,,-1297.3391820788383
ala-ala,80,60,,-1297.3391820788383
ala-ala,80,80,,-1297.3391820788383
ala-ala,80,100,,-1297.3391820788383
ala-ala,80,120,,-1297.3391820788383
ala-ala,80,140,,-1297.3391820788383
ala-ala,80,160,,-1297.3391820788383
ala-ala,80,180,,-1297.3391820788383
ala-ala,80,-20,,-1297.3391820788383
ala-ala,80,-40,,-1297.3391820788383
