name,phi,psi,theta,gaff_energy
ala-ala,-100,-100,,12.837149017161025
ala-ala,-100,-120,,91.99052487222673
ala-ala,-100,-140,,2060.684305470014
ala-ala,-100,-160,,14.430290913897757
ala-ala,-100,-180,,186.8823728307766
ala-ala,-100,-20,,1347.7446025909126
ala-ala,-100,-40,,157.6713826829184
ala-ala,-100,-60,,23.07794861557806
ala-ala,-100,-80,,612.193143018061
ala-ala,-100,0,,0.30252929443832954
ala-ala,-100,100,,55.42152478440167
ala-ala,-100,120,,21.11442569908538
ala-ala,-100,140,,574.882018205081
ala-ala,-100,160,,19.30187037355703
ala-ala,-100,180,,262.52035034526443
ala-ala,-100,20,,236.76358789257807
ala-ala,-100,40,,134.8866739301631
ala-ala,-100,60,,15.8665642784934
ala-ala,-100,80,,2566.2915095806125
ala-ala,-120,-100,,28.486854118912056
ala-ala,-120,-120,,3721.071088161373
ala-ala,-120,-140,,17.791538268955776
ala-ala,-120,-160,,111.46547660137392
ala-ala,-120,-180,,403.58220713297874
ala-ala,-120,-20,,555.3938894898916
ala-ala,-120,-40,,11.478328041227272
ala-ala,-120,-60,,627.3979170664852
ala-ala,-120,-80,,48.86291779521433
ala-ala,-120,0,,682.687545140951
ala-ala,-120,100,,3823.2721097160893
ala-ala,-120,120,,16.72767629786967
ala-ala,-120,140,,72.23328726470699
ala-ala,-120,160,,517.5063413358791
ala-ala,-120,180,,8.877572222070718
ala-ala,-120,20,,5.223655356668679
ala-ala,-120,40,,516.0737808429526
ala-ala,-120,60,,78.50455630244186
ala-ala,-120,80,,28.501932683960845
ala-ala,-140,-100,,-17.123042461995773
ala-ala,-140,-120,,-13.114668789868091
ala-ala,-140,-140,,-9.746355738401292
ala-ala,-140,-160,,4.296828010812554
ala-ala,-140,-180,,-4.036563011186608
ala-ala,-140,-20,,-10.454409357573098
ala-ala,-140,-40,,-4.917885403593672
ala-ala,-140,-60,,4.326593340835693
ala-ala,-140,-80,,-10.088205659990933
ala-ala,-140,0,,-17.96663178794826
ala-ala,-140,100,,-13.853809353504644
ala-ala,-140,120,,-16.637390053884445
ala-ala,-140,140,,-9.320140715142834
ala-ala,-140,160,,4.877530386855604
ala-ala,-140,180,,-6.240233126530683
ala-ala,-140,20,,-13.553973896568372
ala-ala,-140,40,,-2.690499168565431
ala-ala,-140,60,,3.4761399357697513
ala-ala,-140,80,,-9.921715765930955
ala-ala,-160,-100,,-21.89086089638191
ala-ala,-160,-120,,-18.252742770209288
ala-ala,-160,-140,,-19.67744515710448
ala-ala,-160,-160,,-7.007459129348106
ala-ala,-160,-180,,-15.323538261606885
ala-ala,-160,-20,,-12.949568190098063
