name,point,mmff_energy
C6H6-C,1,967.9733912443105
C6H6-C,2,458.8620470319264
C6H6-C,3,181.27694157627562
C6H6-C,4,53.06757633315803
C6H6-C,5,16.57567546437426
C6H6-C,6,32.53447620514042
C6H6-C,7,77.48163424056065
C6H6-C,8,142.6200145838287
C6H6-C,9,233.2993412853513
C6H6-C,10,368.7412149298929
C6H6-C,11,581.8755604409008
C6H6-C,12,919.2368305285278
C6H6-C,13,1440.9043524542437
C6H6-C,14,2220.4661730575212
C6H6-C,15,3345.0030920513036
C6H6-C,16,4915.606746283704
C6H6-C,17,7045.43892256084
C6H6-C,18,9862.405837215672
C6H6-C,19,13507.503918807983
C6H6-C,20,18135.205817821483
C6H6-C,21,23913.45835145271
C6H6-C,22,31023.682475398495
C6H6-C,23,39660.77519045821
C6H6-C,24,50033.10766730532
C6H6-C,25,62362.52716395745
C6H6-C,26,76884.35516055142
C6H6-C,27,93847.38701393745
C6H6-C,28,113513.89508525023
C6H6-C,29,136159.6260746444
C6H6-C,30,162073.80092441064
C6H6-C,31,191559.11738116536
C6H6-C,32,224931.74566386043
C6H6-C,33,262521.33401421073
C6H6-C,34,304671.00316298334
C6H6-C,35,351751.6825654099
C6H6-C,36,404106.36109809077
C6H6-C,37,462131.4486990917
C6H6-C,38,526223.9728901961
C6H6-C,39,596794.4336927638
C6H6-C,40,674266.8073222626
C6H6-C,41,759078.546182109
C6H6-C,42,851680.5751903411
C6H6-C,43,952537.2972906545
C6H6-C,44,1062126.5879469432
C6H6-C,45,1180939.7988136094
C6H6-H,1,842.721740210122
C6H6-H,2,407.4045000200805
C6H6-H,3,162.75398799835753
C6H6-H,4,48.29234144504052
C6H6-H,5,16.57567546437426
C6H6-H,6,33.06996720775836
C6H6-H,7,76.11912463929525
C6H6-H,8,136.98292957638242
C6H6-H,9,219.69066728475522
C6H6-H,10,341.2875169868378
C6H6-H,11,531.3677829945323
C6H6-H,12,832.6003865312309
C6H6-H,13,1300.6890587405744
C6H6-H,14,2003.2977549342615
C6H6-H,15,3022.308624760108
C6H6-H,16,4450.865863959765
C6H6-H,17,6396.342144455355
C6H6-H,18,8979.116470682458
C6H6-H,19,12329.30500777125
C6H6-H,20,16594.01401642257
C6H6-H,21,21929.855313243657
C6H6-H,22,28509.503186309474
C6H6-H,23,36518.83784005923
C6H6-H,24,46147.40349067301
C6H6-H,25,57610.21155431628
C6H6-H,26,71125.59910915187
C6H6-H,27,86933.10631132068
C6H6-H,28,105285.12000960042
C6H6-H,29,126426.43635653073
C6H6-H,30,150643.3014125785
C6H6-H,31,178213.925297138
C6H6-H,32,209446.67280757715
C6H6-H,33,244661.71080923578
C6H6-H,34,284153.5752648384
C6H6-H,35,328284.1457788152
C6H6-H,36,377397.73986754904
C6H6-H,37,431848.1775156021
C6H6-H,38,492040.2803756195
C6H6-H,39,558334.4413761502
C6H6-H,40,631142.0551128959
C6H6-H,41,710877.8026524595
C6H6-H,42,797954.041896002
C6H6-H,43,892856.5709545639
C6H6-H,44,995993.1013974139
C6H6-H,45,1107844.7850030838
CH3OH,1,136.35931696568667
CH3OH,2,65.13099873267473
CH3OH,3,24.993382211826727
CH3OH,4,6.205903032097204
CH3OH,5,1.077657281009786
CH3OH,6,3.9640119812170584
CH3OH,7,11.263641571732165
CH3OH,8,21.415985717508107
CH3OH,9,34.89919216265923
CH3OH,10,54.22855798722476
CH3OH,11,83.95541634387399
CH3OH,12,130.6663791163042
CH3OH,13,202.98284113477175
CH3OH,14,311.56066520004146
CH3OH,15,469.0899866544157
CH3OH,16,690.295094470534
CH3OH,17,991.9343601580646
CH3OH,18,1392.8001960149772
CH3OH,19,1913.7190311250029
CH3OH,20,2577.5512979477344
CH3OH,21,3409.191425147079
CH3OH,22,4435.5678340355025
CH3OH,23,5685.6429370693795
CH3OH,24,7190.413137471069
CH3OH,25,8982.90882943832
CH3OH,26,11098.194398631162
CH3OH,27,13573.368222762647
CH3OH,28,16447.562672199965
CH3OH,29,19761.94411052839
CH3OH,30,23559.7128950572
CH3OH,31,27886.10337726176
CH3OH,32,32788.38390316251
CH3OH,33,38315.85681364631
CH3OH,34,44519.85844473733
CH3OH,35,51453.75912782343
CH3OH,36,59172.96318984501
CH3OH,37,67734.9089534529
CH3OH,38,77199.06873713895
CH3OH,39,87626.9488553453
CH3OH,40,99082.08961855514
CH3OH,41,111630.06533336785
CH3OH,42,125338.48430256249
CH3OH,43,140276.98882514975
CH3OH,44,156517.25519641637
CH3OH,45,174132.99370796198
CH4,1,512.0426234329661
CH4,2,244.105228971241
CH4,3,92.55608109031144
CH4,4,20.83895947677539
CH4,5,0.16713594790213232
CH4,6,9.395644279292942
CH4,7,35.071966342488466
CH4,8,71.44461594245729
CH4,9,120.37188471292643
CH4,10,191.5604363539163
CH4,11,302.14848604421246
CH4,12,477.2150034538484
CH4,13,749.4028379351005
CH4,14,1158.8942953273859
CH4,15,1753.7909059305382
CH4,16,2590.1621034713735
CH4,17,3730.372628104481
CH4,18,5246.990200431038
CH4,19,7217.32551975861
CH4,20,9728.747617713738
CH4,21,12873.686431091977
CH4,22,16757.501399916084
CH4,23,21485.913470528605
CH4,24,27178.413185864396
CH4,25,33956.18371902819
CH4,26,41959.43316564784
CH4,27,51320.15019965105
CH4,28,62191.30927750049
CH4,29,74724.90045090608
CH4,30,89091.77600431346
CH4,31,105443.11214590068
CH4,32,123991.27122760781
CH4,33,144885.752381943
CH4,34,168346.04782687727
CH4,35,194567.9775925663
CH4,36,223749.6491884253
CH4,37,256117.9117443966
CH4,38,291902.15218125307
CH4,39,331322.9792950149
CH4,40,374643.6631162685
CH4,41,422065.47193792014
CH4,42,473905.825075528
CH4,43,530359.5132926042
