molecule,point-dft,length-dft,minE-dft,point-ani2,length-ani2,minE-ani2,point-ani1x,length-ani1x,minE-ani1x,point-cnn,length-cnn,minE-cnn,point-band,length-band,minE-band,point-fchl,length-fchl,minE-fchl,point-bobrfr,length-bobrfr,minE-bobrfr,point-bobkrr,length-bobkrr,minE-bobkrr,point-bobbrr,length-bobbrr,minE-bobbrr,point-ecfprfr,length-ecfprfr,minE-ecfprfr,point-mmff,length-mmff,minE-mmff,point-gaff,length-gaff,minE-gaff
C6H6-C,5,1.3846,-145309.31467885364,5,1.3846,-145311.92196060644,5,1.3846,-145694.15442197386,5,1.3846,-145691.7613852137,5,1.3846,-1372.7620849609375,5,1.3846,-145686.55623316017,1,0.9846,-145806.1670262798,2,1.0846,-145758.7774350252,0,0.8846,-145720.81403079536,2,1.0846,-149679.03776304124,5,1.3846,16.57567546437426,5,1.3846,19.456137364738208
C6H6-H,5,1.0804899721885437,-145309.3146851123,5,1.0804899721885437,-145311.92196060644,5,1.0804899721885437,-145694.15442197386,5,1.0804899721885437,-145691.78570772347,5,1.0804899721885437,-1372.7620849609375,2,0.7804465708810565,-145781.99462123602,1,0.6804487710327648,-145790.74666028857,7,1.2804355704212529,-145693.0014353634,10,1.58056557282512,-145660.53494769175,0,0.5805009732980644,-149679.03776304124,5,1.0804899721885437,16.57567546437426,5,1.0804899721885437,19.456137364738208
CH3OH,5,1.4062,-72398.73579231143,5,1.4062,-72399.94486535896,5,1.4062,-72590.64467021951,5,1.4062,-72590.57935725986,5,1.4062,-506.98822021484375,5,1.4062,-72589.97206550131,29,3.8062,-92371.3705474051,3,1.2062,-72490.08695922313,20,2.9062,-72475.04166819343,8,1.7062,-199777.10195428933,5,1.4062,1.0776572810097858,5,1.4062,11.175286265965688
CH4,5,1.0822,-25346.546992297852,5,1.0822,-25346.87904610642,5,1.0822,-25413.699050304487,5,1.0822,-25413.45529702232,5,1.0822,-418.1061401367188,5,1.0822,-25398.713967654694,35,4.0822,-80776.54598662772,45,5.0822,-25462.957235056027,45,5.0822,-25436.34988512493,0,0.5822,-144370.36538419029,5,1.0822,0.16713594790213232,5,1.0822,0.9223270912831514
CO,5,1.1271,-70897.33816758194,5,1.1271,-70898.41311642625,5,1.1271,-71084.6334238696,5,1.1271,-71021.14508307054,0,0.6271,-185.2471008300781,5,1.1271,-71029.82722730482,6,1.2271,-84315.20024314981,6,1.2271,-71247.12957066798,45,5.1271,-71181.70913115093,0,0.6271,-208631.87689218388,6,1.2271,0.8237751427267582,6,1.2271,0.4655858927040079
H2,5,0.7766,-730.2495428958152,5,0.7766,-706.8329876409282,1,0.3771,-760.1716711939084,10,1.276,-591.5515586731641,3,0.5769,-106.99164581298828,4,0.6767,-3681.5975190844397,42,4.4723,-79210.6200978521,45,4.772,-1527.8957575938941,45,4.772,-552.2159839574558,2,0.477,-144370.36538419029,0,0.2772,0.0,8,1.0763,1.1758418460000055
H2CCH2,5,1.3163,-49165.03843125845,5,1.3163,-49165.84616342987,5,1.3163,-49295.25304179827,5,1.3163,-49294.40379631759,5,1.3163,-559.3549194335939,5,1.3163,-49293.99992224197,9,1.7163,-74846.08587013061,4,1.2163,-49285.1290541426,7,1.5163,-49226.44541694976,0,0.8163,-158137.12472389944,5,1.3163,8.641677056548987,5,1.3163,4.193629759422688
H2O,5,0.9592,-47807.33185428953,5,0.9592,-47808.37056308499,5,0.9592,-47934.23172411127,5,0.9592,-47930.18309953205,5,0.9592,-219.45391845703125,8,1.2592,-47795.33045827325,37,4.1592,-80432.65258729427,1,0.5592,-48128.289826336535,45,4.9592,-47860.054045837824,1,0.5592,-144370.36538419029,5,0.9592,0.2322173400329093,6,1.0592,6.9697548517754235
HCCH,5,1.1937,-48376.1497819055,5,1.1937,-48377.18265808912,5,1.1937,-48504.754420786594,5,1.1937,-48503.763605481465,5,1.1937,-400.3453674316406,6,1.2937,-48472.82823837795,24,3.0937,-79655.64076158537,7,1.3937,-48482.44582154961,45,5.1937,-48525.24478643998,4,1.0937,-144667.00705119,5,1.1937,164.3379490478658,5,1.1937,3643.9981493086357
HCN,5,1.1375,-58449.73005366418,5,1.1375,-58451.04678326619,5,1.1375,-58604.938929371776,5,1.1375,-58604.81628938003,0,0.6375,-307.3213806152344,6,1.2375,-58565.39627891612,7,1.3375,-84199.82329233097,3,0.9375,-58820.90275816208,44,5.0375,-58664.75322499784,1,0.7375,-193450.63929125815,5,1.1375,0.6502216126038908,5,1.1375,0.1837243351464404
